[01:21:38] ============================================================
[01:21:38] IMPACT SCANNER — Building impact tables
[01:21:38]   WT3:      D:\ygg\yggdrasil-engine\data\wt3.db (81.9 GB)
[01:21:38]   Spectral: spectral_births.json
[01:21:38]   Output:   D:\ygg\yggdrasil-engine\data\impact.db
[01:21:38] ============================================================
[01:21:38] Loading spectral positions from spectral_births.json...
[01:21:38]   Loaded 65,026 nodes (65,026 concepts, 1,316 glyphs)
[01:21:39] Total papers in WT3: 833,030 | Already done: 0 | Remaining: 833,030 | Cursor at rowid 0
[01:31:55]   Batch 156: 785,000/833,030 (94.2%) | 1274 papers/s | ETA 0.6min
[01:32:00]   Batch 157: 790,000/833,030 (94.8%) | 1272 papers/s | ETA 0.6min
[01:32:05]   Batch 158: 795,000/833,030 (95.4%) | 1270 papers/s | ETA 0.5min
[01:32:10]   Batch 159: 800,000/833,030 (96.0%) | 1268 papers/s | ETA 0.4min
[01:32:15]   Batch 160: 805,000/833,030 (96.6%) | 1265 papers/s | ETA 0.4min
[01:32:20]   Batch 161: 810,000/833,030 (97.2%) | 1262 papers/s | ETA 0.3min
[01:32:26]   Batch 162: 815,000/833,030 (97.8%) | 1260 papers/s | ETA 0.2min
[01:32:31]   Batch 163: 820,000/833,030 (98.4%) | 1258 papers/s | ETA 0.2min
[01:32:36]   Batch 164: 825,000/833,030 (99.0%) | 1255 papers/s | ETA 0.1min
[01:32:42]   Batch 165: 830,000/833,030 (99.6%) | 1252 papers/s | ETA 0.0min
[01:32:45]   Batch 166: 833,030/833,030 (100.0%) | 1251 papers/s | ETA 0.0min
[01:32:45] Paper scan DONE: 833,030 papers (833,030 this run) in 665.9s
[01:32:45] Building year_impact...
[01:32:46]   56 years indexed
[01:32:46] Building author_impact...
[01:32:48]   Processing 831,052 papers with author data...
[01:33:14]   779,789 authors indexed
[01:33:15] Building indexes...
[01:33:24]   Indexes done
[01:33:24] DONE.
[01:33:24] Output: D:\ygg\yggdrasil-engine\data\impact.db (365.3 MB)
